   0.26844E+02    0.43201E+02    0.26629E+04    0.71268E+02
   0.26990E+02    0.43141E+02    0.26571E+04    0.69839E+02
   0.26971E+02    0.42891E+02    0.26997E+04    0.68708E+02
   0.26934E+02    0.42975E+02    0.27599E+04    0.68203E+02
   0.26889E+02    0.43456E+02    0.28146E+04    0.68417E+02
   0.26889E+02    0.43862E+02    0.28412E+04    0.69013E+02
   0.26907E+02    0.44137E+02    0.28463E+04    0.69686E+02
   0.26934E+02    0.44184E+02    0.28432E+04    0.70235E+02
   0.26944E+02    0.44107E+02    0.28455E+04    0.70689E+02
   0.26943E+02    0.44008E+02    0.28527E+04    0.71104E+02
   0.26935E+02    0.43934E+02    0.28647E+04    0.71551E+02
   0.26927E+02    0.43898E+02    0.28765E+04    0.72052E+02
   0.26920E+02    0.43879E+02    0.28859E+04    0.72601E+02
   0.26918E+02    0.43855E+02    0.28922E+04    0.73172E+02
   0.26916E+02    0.43796E+02    0.28959E+04    0.73745E+02
   0.26916E+02    0.43736E+02    0.28980E+04    0.74306E+02
   0.26912E+02    0.43657E+02    0.28993E+04    0.74860E+02
   0.26910E+02    0.43586E+02    0.28995E+04    0.75406E+02
   0.26906E+02    0.43513E+02    0.28987E+04    0.75951E+02
   0.26903E+02    0.43443E+02    0.28963E+04    0.76492E+02
   0.26899E+02    0.43372E+02    0.28924E+04    0.77028E+02
   0.26896E+02    0.43298E+02    0.28867E+04    0.77551E+02
   0.26893E+02    0.43221E+02    0.28794E+04    0.78058E+02
   0.26891E+02    0.43137E+02    0.28707E+04    0.78543E+02
   0.26887E+02    0.43056E+02    0.28608E+04    0.79004E+02
   0.26884E+02    0.42969E+02    0.28497E+04    0.79439E+02
   0.26882E+02    0.42888E+02    0.28376E+04    0.79844E+02
   0.26879E+02    0.42799E+02    0.28245E+04    0.80218E+02
   0.26877E+02    0.42721E+02    0.28105E+04    0.80556E+02
   0.26874E+02    0.42632E+02    0.27958E+04    0.80858E+02
   0.26872E+02    0.42558E+02    0.27804E+04    0.81119E+02
   0.26869E+02    0.42472E+02    0.27646E+04    0.81342E+02
   0.26868E+02    0.42405E+02    0.27485E+04    0.81519E+02
   0.26866E+02    0.42324E+02    0.27323E+04    0.81656E+02
   0.26865E+02    0.42265E+02    0.27159E+04    0.81744E+02
   0.26863E+02    0.42191E+02    0.26998E+04    0.81793E+02
   0.26864E+02    0.42142E+02    0.26838E+04    0.81791E+02
   0.26862E+02    0.42079E+02    0.26684E+04    0.81752E+02
   0.26864E+02    0.42042E+02    0.26534E+04    0.81663E+02
   0.26862E+02    0.41991E+02    0.26390E+04    0.81537E+02
   0.26865E+02    0.41968E+02    0.26253E+04    0.81364E+02
   0.26864E+02    0.41930E+02    0.26126E+04    0.81158E+02
   0.26867E+02    0.41921E+02    0.26006E+04    0.80909E+02
   0.26867E+02    0.41900E+02    0.25897E+04    0.80634E+02
   0.26871E+02    0.41904E+02    0.25796E+04    0.80319E+02
   0.26872E+02    0.41899E+02    0.25706E+04    0.79981E+02
   0.26876E+02    0.41917E+02    0.25626E+04    0.79610E+02
   0.26878E+02    0.41928E+02    0.25558E+04    0.79225E+02
   0.26882E+02    0.41959E+02    0.25498E+04    0.78814E+02
   0.26884E+02    0.41985E+02    0.25450E+04    0.78393E+02
   0.26889E+02    0.42026E+02    0.25409E+04    0.77951E+02
   0.26891E+02    0.42066E+02    0.25381E+04    0.77505E+02
